full_name,age,country,rating,club,foot,position,value,wage,reputation
Bruno Fernandes,25,Portugal,87,Manchester United,Right,CAM,105500000,195000,2
Fabinho,26,Brazil,87,Liverpool,Right,CDM,88500000,155000,3
Roberto Firmino,28,Brazil,87,Liverpool,Right,CF,81500000,190000,3
A. Griezmann,29,France,87,FC Barcelona,Left,ST,79500000,290000,4
K. Navas,33,Costa Rica,87,Paris Saint-Germain,Right,GK,26000000,110000,3
C. Immobile,30,Italy,87,Lazio,Right,ST,78000000,125000,3
Sergio Busquets,31,Spain,87,FC Barcelona,Right,CDM,56000000,240000,4
P. Aubameyang,31,Gabon,87,Arsenal,Right,ST,67500000,170000,3
W. Szczęsny,30,Poland,87,Juventus,Right,GK,53000000,105000,3
A. Di María,32,Argentina,87,Paris Saint-Germain,Left,RW,63000000,160000,4
L. Modrić,34,Croatia,87,Real Madrid,Right,CM,36500000,260000,4
L. Suárez,33,Uruguay,87,Atlético Madrid,Right,ST,51000000,115000,5
H. Lloris,33,France,87,Tottenham Hotspur,Left,GK,26000000,125000,4
G. Chiellini,35,Italy,87,Juventus,Left,CB,21000000,95000,4
J. Vardy,33,England,86,Leicester City,Right,ST,43500000,160000,3
S. Gnabry,24,Germany,86,FC Bayern München,Right,RM,88000000,110000,3
Carvajal,28,Spain,86,Real Madrid,Right,RB,61500000,230000,3
R. Varane,27,France,86,Real Madrid,Right,CB,72500000,220000,3
M. Verratti,27,Italy,86,Paris Saint-Germain,Right,CM,77500000,135000,3
P. Pogba,27,France,86,Manchester United,Right,CM,77500000,190000,4
De Gea,29,Spain,86,Manchester United,Right,GK,46500000,150000,4
T. Müller,30,Germany,86,FC Bayern München,Right,CAM,65500000,130000,4
Jordi Alba,31,Spain,86,FC Barcelona,Left,LB,49500000,220000,3
J. Henderson,30,England,86,Liverpool,Right,CDM,57000000,140000,2
M. Hummels,31,Germany,86,Borussia Dortmund,Right,CB,46500000,95000,4
Y. Sommer,31,Switzerland,86,Borussia Mönchengladbach,Right,GK,36000000,55000,3
David Silva,34,Spain,86,Real Sociedad,Left,CAM,32000000,58000,4
Piqué,33,Spain,86,FC Barcelona,Right,CB,32500000,220000,4
A. Gómez,32,Argentina,86,Atalanta,Right,CAM,54000000,100000,3
K. Havertz,21,Germany,85,Chelsea,Left,CAM,121000000,105000,3
M. de Ligt,20,Netherlands,85,Juventus,Right,CB,99000000,81000,3
M. Škriniar,25,Slovakia,85,Inter,Right,CB,67000000,130000,1
Rodri,24,Spain,85,Manchester City,Right,CDM,66500000,145000,2
M. Rashford,22,England,85,Manchester United,Right,RM,86500000,150000,2
G. Donnarumma,21,Italy,85,Milan,Right,GK,93500000,34000,3
F. de Jong,23,Netherlands,85,FC Barcelona,Right,CM,81000000,190000,3
S. Milinković-Savić,25,Serbia,85,Lazio,Right,CM,74500000,95000,2
L. Sané,24,Germany,85,FC Bayern München,Left,LM,81500000,100000,2
C. Lenglet,25,France,85,FC Barcelona,Left,CB,67000000,190000,2
T. Werner,24,Germany,85,Chelsea,Right,ST,74500000,135000,3
Ricardo Pereira,26,Portugal,85,Leicester City,Right,RB,58000000,120000,3
L. Goretzka,25,Germany,85,FC Bayern München,Right,CM,71000000,110000,3
H. Ziyech,27,Morocco,85,Chelsea,Left,CAM,62000000,140000,3
Marquinhos,26,Brazil,85,Paris Saint-Germain,Right,CB,66000000,115000,3
R. Mahrez,29,Algeria,85,Manchester City,Left,RW,53000000,210000,3
M. Icardi,27,Argentina,85,Paris Saint-Germain,Right,ST,63000000,135000,3
Luis Alberto,27,Spain,85,Lazio,Right,CAM,57500000,100000,2
L. Insigne,29,Italy,85,Napoli,Right,LW,53000000,120000,3
Koke,28,Spain,85,Atlético Madrid,Right,CM,54000000,90000,3
B. Leno,28,Germany,85,Arsenal,Right,GK,46000000,105000,3
R. Lukaku,27,Belgium,85,Inter,Left,ST,63000000,165000,3
Alex Sandro,29,Brazil,85,Juventus,Left,LB,47500000,120000,3
C. Eriksen,28,Denmark,85,Inter,Right,CAM,54500000,155000,3
Parejo,31,Spain,85,Villarreal CF,Right,CM,44000000,59000,2
Thiago,29,Spain,85,Liverpool,Right,CM,52500000,150000,3
K. Walker,30,England,85,Manchester City,Right,RB,46500000,170000,3
M. Reus,31,Germany,85,Borussia Dortmund,Right,CAM,44500000,95000,4
P. Gulácsi,30,Hungary,85,RB Leipzig,Right,GK,36000000,65000,2
L. Bonucci,33,Italy,85,Juventus,Right,CB,26000000,110000,3
T. Alderweireld,31,Belgium,85,Tottenham Hotspur,Right,CB,37000000,130000,3
D. Godín,34,Uruguay,85,Cagliari,Right,CB,17500000,56000,3
G. Wijnaldum,29,Netherlands,85,Liverpool,Right,CM,52500000,150000,3
M. Pjanić,30,Bosnia Herzegovina,85,FC Barcelona,Right,CM,51500000,220000,3
D. Mertens,33,Belgium,85,Napoli,Right,CF,34500000,115000,3
Thiago Silva,35,Brazil,85,Chelsea,Right,CB,14500000,95000,4
E. Haaland,19,Norway,84,Borussia Dortmund,Left,ST,92000000,56000,2
L. Martínez,22,Argentina,84,Inter,Right,ST,86500000,130000,1
Arthur,23,Brazil,84,Juventus,Right,CM,63500000,100000,2
Oyarzabal,23,Spain,84,Real Sociedad,Left,CAM,63500000,47000,1
W. Ndidi,23,Nigeria,84,Leicester City,Right,CB,55000000,95000,1
A. Onana,24,Cameroon,84,Ajax,Right,GK,48000000,18000,3
J. Giménez,25,Uruguay,84,Atlético Madrid,Right,CB,52500000,71000,2
M. Brozović,27,Croatia,84,Inter,Right,CDM,43000000,125000,2
K. Coman,24,France,84,FC Bayern München,Right,RM,60500000,95000,3
Alex Telles,27,Brazil,84,Manchester United,Left,LB,44500000,145000,3
J. Brandt,24,Germany,84,Borussia Dortmund,Right,CAM,60500000,75000,3
N. Süle,24,Germany,84,FC Bayern München,Right,CB,57500000,84000,2
A. Martial,24,France,84,Manchester United,Right,ST,61000000,155000,3
N. Tagliafico,27,Argentina,84,Ajax,Left,LB,40500000,27000,3
Grimaldo,24,Spain,84,SL Benfica,Left,LWB,56000000,20000,3
T. Partey,27,Ghana,84,Arsenal,Right,CDM,48000000,120000,2
R. Guerreiro,26,Portugal,84,Borussia Dortmund,Left,CAM,49500000,86000,3
Saúl,25,Spain,84,Atlético Madrid,Left,CM,55500000,78000,3
Felipe,31,Brazil,84,Atlético Madrid,Right,CB,29000000,74000,3
M. Sabitzer,26,Austria,84,RB Leipzig,Right,CM,52000000,81000,3
R. Jiménez,29,Mexico,84,Wolverhampton Wanderers,Right,ST,42000000,140000,3
M. Depay,26,Netherlands,84,Olympique Lyonnais,Right,CAM,56000000,105000,3
J. Iličić,32,Slovenia,84,Atalanta,Left,CAM,34000000,90000,3
L. Digne,26,France,84,Everton,Left,LB,45500000,110000,2
W. Ben Yedder,29,France,84,AS Monaco,Right,CF,42000000,90000,2
S. de Vrij,28,Netherlands,84,Inter,Right,CB,40000000,130000,3
Pizzi,30,Portugal,84,SL Benfica,Right,RM,40500000,25000,3
Isco,28,Spain,84,Real Madrid,Right,CAM,42500000,210000,3
D. Alaba,28,Austria,84,FC Bayern München,Left,CB,36500000,105000,4
I. Gueye,30,Senegal,84,Paris Saint-Germain,Right,CDM,35500000,105000,2
J. Corona,27,Mexico,84,FC Porto,Right,RM,45000000,25000,3
Iago Aspas,32,Spain,84,RC Celta,Left,ST,34000000,46000,2
Douglas Costa,29,Brazil,84,FC Bayern München,Left,LM,41500000,110000,3
R. Bürki,29,Switzerland,84,Borussia Dortmund,Right,GK,32500000,68000,3
José Callejón,33,Spain,84,Fiorentina,Right,RM,26500000,85000,3
Azpilicueta,30,Spain,84,Chelsea,Right,RB,36500000,120000,3
E. Cavani,33,Uruguay,84,Manchester United,Right,ST,27000000,175000,4
Rui Patrício,32,Portugal,84,Wolverhampton Wanderers,Left,GK,21000000,90000,3
A. Witsel,31,Belgium,84,Borussia Dortmund,Right,CDM,29500000,79000,3
Lucas Leiva,33,Brazil,84,Lazio,Right,CDM,21000000,83000,3
S. Sirigu,33,Italy,84,Torino,Right,GK,13500000,54000,3
K. Schmeichel,33,Denmark,84,Leicester City,Right,GK,13500000,90000,2
Jesús Navas,34,Spain,84,Sevilla FC,Right,RB,15500000,43000,2
Fernandinho,35,Brazil,84,Manchester City,Right,CB,11000000,110000,3
F. Valverde,21,Uruguay,83,Real Madrid,Right,CM,73500000,135000,1
A. Hakimi,21,Morocco,83,Inter,Right,RM,56000000,90000,1
O. Dembélé,23,France,83,FC Barcelona,Left,LM,57500000,175000,3
Gabriel Jesus,23,Brazil,83,Manchester City,Right,ST,52500000,150000,2
Ronaldo Cabrais,28,Brazil,83,Grêmio,Right,RM,36500000,49000,1
A. Wan-Bissaka,22,England,83,Manchester United,Right,RB,52000000,115000,1
D. Zakaria,23,Switzerland,83,Borussia Mönchengladbach,Right,CDM,47500000,45000,1
F. Mendy,25,France,83,Real Madrid,Left,LB,49500000,160000,1
Nélson Semedo,26,Portugal,83,Wolverhampton Wanderers,Right,RWB,43500000,100000,2
S. Bergwijn,22,Netherlands,83,Tottenham Hotspur,Right,CAM,56000000,105000,2
J. Gomez,23,England,83,Liverpool,Right,CB,49500000,95000,2
M. Acuña,28,Argentina,83,Sevilla FC,Left,LB,33000000,41000,2
M. Ødegaard,21,Norway,83,Real Madrid,Left,CAM,58500000,135000,3
D. van de Beek,23,Netherlands,83,Manchester United,Right,CM,52000000,125000,3
Pau López,25,Spain,83,Roma,Left,GK,37000000,25000,1
M. Dúbravka,31,Slovakia,83,Newcastle United,Right,GK,19000000,47000,1
Diego Carlos,27,Brazil,83,Sevilla FC,Right,CB,38500000,39000,2
N. Fekir,26,France,83,Real Betis,Left,CAM,43000000,38000,3
Rafa,27,Portugal,83,SL Benfica,Right,LM,38500000,23000,2
D. Zapata,29,Colombia,83,Atalanta,Right,ST,36500000,87000,2
T. Strakosha,25,Albania,83,Lazio,Right,GK,42500000,58000,1
Gayà,25,Spain,83,Valencia CF,Left,LWB,49500000,46000,2
D. Alli,24,England,83,Tottenham Hotspur,Right,CAM,52000000,105000,3
João Cancelo,26,Portugal,83,Manchester City,Right,RWB,43500000,140000,2
A. Romagnoli,25,Italy,83,Milan,Left,CB,45500000,51000,2
F. Kostić,27,Serbia,83,Eintracht Frankfurt,Left,LM,38500000,45000,2
Gerard Moreno,28,Spain,83,Villarreal CF,Left,ST,37000000,56000,1
M. Kovačić,26,Croatia,83,Chelsea,Right,CM,47000000,120000,3
E. Višća,30,Bosnia Herzegovina,83,Medipol Başakşehir FK,Right,RM,35000000,59000,2
S. Umtiti,26,France,83,FC Barcelona,Left,CB,42000000,170000,3
Jorginho,28,Italy,83,Chelsea,Right,CM,36500000,125000,2
Portu,28,Spain,83,Real Sociedad,Right,RW,36500000,50000,1
Juan Bernat,27,Spain,83,Paris Saint-Germain,Left,LB,38000000,95000,2
T. Hazard,27,Belgium,83,Borussia Dortmund,Right,LM,38500000,79000,2
Allan,29,Brazil,83,Everton,Right,CDM,35500000,115000,2
F. Acerbi,32,Italy,83,Lazio,Left,CB,23500000,75000,2
Sergi Roberto,28,Spain,83,FC Barcelona,Right,RB,33000000,175000,3
A. Lopes,29,Portugal,83,Olympique Lyonnais,Left,GK,28000000,69000,2
D. Tadić,31,Serbia,83,Ajax,Left,CF,30500000,30000,3
C. Aránguiz,31,Chile,83,Bayer 04 Leverkusen,Right,CDM,25500000,79000,2
W. Zaha,27,Ivory Coast,83,Crystal Palace,Right,LM,38500000,82000,2
J. Matip,28,Cameroon,83,Liverpool,Right,CB,34500000,115000,2
Aitor,29,Spain,83,Levante UD,Right,GK,25000000,31000,1
A. Lacazette,29,France,83,Arsenal,Right,ST,36500000,125000,3
K. Casteels,28,Belgium,83,VfL Wolfsburg,Left,GK,31000000,53000,2
K. Manolas,29,Greece,83,Napoli,Right,CB,33500000,84000,3
L. Hrádecký,30,Finland,83,Bayer 04 Leverkusen,Right,GK,24000000,64000,2
Muniain,27,Spain,83,Athletic Club de Bilbao,Right,LW,38500000,41000,2
Coutinho,28,Brazil,83,FC Barcelona,Right,CAM,36500000,190000,4
K. Trapp,29,Germany,83,Eintracht Frankfurt,Right,GK,25000000,35000,2
Oscar,28,Brazil,83,Shanghai SIPG FC,Right,CAM,36500000,25000,3
Paulinho,31,Brazil,83,Guangzhou Evergrande Taobao FC,Right,CM,30000000,39000,3
I. Gündoğan,29,Germany,83,Manchester City,Right,CM,35500000,160000,3
K. Trippier,29,England,83,Atlético Madrid,Right,RB,32000000,71000,2
Fernando,32,Brazil,83,Sevilla FC,Right,CDM,24000000,39000,2
J. Boateng,31,Germany,83,FC Bayern München,Right,CB,25000000,90000,4
Yuri Berchiche,30,Spain,83,Athletic Club de Bilbao,Left,LB,31500000,35000,2
A. Vidal,33,Chile,83,Inter,Right,CM,22500000,125000,4
E. Džeko,34,Bosnia Herzegovina,83,Roma,Right,ST,17500000,39000,3
E. Banega,32,Argentina,83,Al Shabab,Right,CM,28500000,55000,3
R. Nainggolan,32,Belgium,83,Inter,Right,CDM,29000000,125000,3
Marcelo,32,Brazil,83,Real Madrid,Left,LB,25000000,170000,4
G. Bale,30,Wales,83,Tottenham Hotspur,Left,RW,35000000,200000,4
J. Vertonghen,33,Belgium,83,SL Benfica,Left,CB,17500000,21000,3
B. Matuidi,33,France,83,Inter Miami,Left,CDM,18000000,14000,3
C. Vela,31,Mexico,83,Los Angeles FC,Left,RW,30000000,17000,3
Renato Augusto,32,Brazil,83,Beijing Sinobo Guoan FC,Right,CM,28500000,33000,2
G. Higuaín,32,Argentina,83,Inter Miami,Right,ST,29500000,17000,4
S. Mandanda,35,France,83,Olympique de Marseille,Right,GK,4000000,28000,3
João Moutinho,33,Portugal,83,Wolverhampton Wanderers,Right,CM,22500000,110000,3
Z. Ibrahimović,38,Sweden,83,Milan,Right,ST,12500000,49000,5
Reguilón,23,Spain,82,Tottenham Hotspur,Left,LB,58000000,85000,1
J. Pavlenka,28,Czech Republic,82,SV Werder Bremen,Right,GK,24000000,32000,1
H. Aouar,22,France,82,Olympique Lyonnais,Right,CAM,61500000,70000,1
Josué Chiamulera,28,Brazil,82,Grêmio,Right,CB,26500000,41000,1
Raphaelito Anjos,32,Brazil,82,Grêmio,Right,GK,15000000,32000,1
Fabián,24,Spain,82,Napoli,Left,CM,48000000,70000,1
G. Lo Celso,24,Argentina,82,Tottenham Hotspur,Left,CAM,46000000,95000,1
Marcos Llorente,25,Spain,82,Atlético Madrid,Right,CM,40000000,65000,1
N. Pépé,25,Ivory Coast,82,Arsenal,Left,LM,40500000,100000,1
P. Kimpembe,24,France,82,Paris Saint-Germain,Left,CB,41500000,75000,2
K. Laimer,23,Austria,82,RB Leipzig,Right,CDM,40000000,53000,1
Rúben Neves,23,Portugal,82,Wolverhampton Wanderers,Right,CM,46000000,89000,2
David Soria,27,Spain,82,Getafe CF,Right,GK,28000000,30000,1
R. Gosens,25,Germany,82,Atalanta,Left,LM,34000000,68000,1
Marco Asensio,24,Spain,82,Real Madrid,Left,CAM,43500000,160000,3
L. Hernández,24,France,82,FC Bayern München,Left,CB,41500000,70000,3
D. Djené,28,Togo,82,Getafe CF,Right,CB,29000000,39000,1
A. Kramarić,29,Croatia,82,TSG 1899 Hoffenheim,Right,ST,30500000,56000,2
M. Maignan,24,France,82,LOSC Lille,Right,GK,34500000,31000,1
G. Rulli,28,Argentina,82,Villarreal CF,Right,GK,26000000,35000,3
A. Correa,25,Argentina,82,Atlético Madrid,Right,CAM,40500000,65000,1
Anderson Talisca,26,Brazil,82,Guangzhou Evergrande Taobao FC,Left,CAM,40000000,36000,2
M. Halstenberg,28,Germany,82,RB Leipzig,Left,LB,27500000,65000,2
Pacheco,28,Spain,82,Deportivo Alavés,Left,GK,26000000,28000,1
Y. Carrasco,26,Belgium,82,Atlético Madrid,Right,LM,33500000,68000,3
E. Can,26,Germany,82,Borussia Dortmund,Right,CB,37500000,72000,2
M. Ginter,26,Germany,82,Borussia Mönchengladbach,Right,CB,31500000,48000,3
L. Ocampos,25,Argentina,82,Sevilla FC,Right,ST,36500000,40000,2
F. Thauvin,27,France,82,Olympique de Marseille,Left,RW,32500000,59000,2
T. Vaclík,31,Czech Republic,82,Sevilla FC,Right,GK,16000000,29000,1
N. Pope,28,England,82,Burnley,Right,GK,24000000,59000,1
H. Maguire,27,England,82,Manchester United,Right,CB,34500000,120000,2
K. Bellarabi,30,Germany,82,Bayer 04 Leverkusen,Right,RM,29500000,79000,3
Gabriel Paulista,29,Brazil,82,Valencia CF,Right,CB,28000000,46000,2
Morata,27,Spain,82,Juventus,Right,ST,35500000,100000,3
A. Marchesín,32,Argentina,82,FC Porto,Right,GK,15000000,16000,1
Lucas Moura,27,Brazil,82,Tottenham Hotspur,Right,RM,32500000,110000,3
Danilo Pereira,28,Portugal,82,Paris Saint-Germain,Right,CDM,27000000,20000,3
S. Berghuis,28,Netherlands,82,Feyenoord,Left,RW,30500000,25000,2
J. Rodríguez,28,Colombia,82,Everton,Left,CAM,30500000,105000,4
Rodrigo,29,Spain,82,Leeds United,Left,ST,30500000,140000,3
M. Perin,27,Italy,82,Genoa,Right,GK,28000000,20000,2
Neto,30,Brazil,82,FC Barcelona,Right,GK,20500000,125000,2
O. Baumann,30,Germany,82,TSG 1899 Hoffenheim,Right,GK,20500000,37000,2
Mário Fernandes,29,Russia,82,PFC CSKA Moscow,Right,RWB,27000000,60000,2
A. Areola,27,France,82,Fulham,Right,GK,32000000,71000,2
D. Blind,30,Netherlands,82,Ajax,Left,CB,25000000,23000,3
Canales,29,Spain,82,Real Betis,Left,CAM,29500000,36000,2
A. Ramsey,29,Wales,82,Juventus,Right,CM,29500000,100000,3
A. Kolarov,34,Serbia,82,Inter,Left,LB,11000000,105000,2
M. Arnautović,31,Austria,82,Shanghai SIPG FC,Right,ST,25500000,24000,3
F. Muslera,34,Uruguay,82,Galatasaray SK,Right,GK,5000000,64000,3
I. Perišić,31,Croatia,82,Inter,Left,LM,25000000,115000,3
Willian,31,Brazil,82,Arsenal,Right,RW,25000000,110000,3
Sergio Asenjo,31,Spain,82,Villarreal CF,Right,GK,16000000,34000,2
L. Bender,31,Germany,82,Bayer 04 Leverkusen,Right,RB,22000000,72000,3
D. Payet,33,France,82,Olympique de Marseille,Right,LW,19000000,59000,3
M. Özil,31,Germany,82,Arsenal,Left,CAM,25000000,100000,4
I. Rakitić,32,Croatia,82,Sevilla FC,Right,CM,24000000,39000,4
Raúl Albiol,34,Spain,82,Villarreal CF,Right,CB,10000000,41000,3
G. Buffon,42,Italy,82,Juventus,Right,GK,3400000,41000,4
Renan Lodi,22,Brazil,81,Atlético Madrid,Left,LB,38500000,49000,1
João Félix,20,Portugal,81,Atlético Madrid,Right,CAM,62500000,52000,1
M. Diaby,20,France,81,Bayer 04 Leverkusen,Left,LM,51000000,54000,1
D. Livaković,25,Croatia,81,Dinamo Zagreb,Right,GK,30000000,950,1
Ferran Torres,20,Spain,81,Manchester City,Right,RM,56500000,95000,1
Rúben Dias,23,Portugal,81,Manchester City,Right,CB,37000000,105000,1
Cucurella,21,Spain,81,Getafe CF,Left,LM,58000000,28000,1
T. Souček,25,Czech Republic,81,West Ham United,Right,CDM,34500000,46000,1
M. Lazzari,26,Italy,81,Lazio,Right,RM,30500000,70000,1
A. Davies,19,Canada,81,FC Bayern München,Left,LB,53000000,40000,1
Raphinha,23,Brazil,81,Leeds United,Left,LM,37000000,100000,1
Richarlison,23,Brazil,81,Everton,Right,ST,52000000,90000,1
Oswaldinato,28,Brazil,81,Flamengo,Right,ST,26500000,56000,1
Nuno Padrenda,24,Brazil,81,Palmeiras,Right,CAM,29500000,43000,1
Welington Dano,20,Brazil,81,,Left,LB,0,0,1
Louri Beretta,28,Brazil,81,Atlético Mineiro,Right,ST,26500000,53000,1
Rosberto Dourado,20,Brazil,81,Atlético Mineiro,Right,CDM,25500000,31000,1
Adryan Zonta,28,Brazil,81,São Paulo,Left,LWB,23500000,48000,1
Juiano Mestres,24,Brazil,81,,Right,CB,0,0,1
B. Chilwell,23,England,81,Chelsea,Left,LB,34500000,79000,1
C. Pulisic,21,United States,81,Chelsea,Right,RM,41500000,83000,3
M. Dmitrović,28,Serbia,81,SD Eibar,Left,GK,20500000,30000,1
B. Pavard,24,France,81,FC Bayern München,Right,CB,34500000,65000,1
Merino,24,Spain,81,Real Sociedad,Left,CAM,36500000,33000,1
Gonçalo Guedes,23,Portugal,81,Valencia CF,Right,LM,40500000,39000,2
L. Torreira,24,Uruguay,81,Atlético Madrid,Right,CDM,33500000,74000,2
W. Weghorst,27,Netherlands,81,VfL Wolfsburg,Right,ST,28000000,62000,1
Everton,24,Brazil,81,SL Benfica,Right,CAM,39000000,17000,1
N. Keïta,25,Guinea,81,Liverpool,Right,CAM,35500000,95000,2
D. Sánchez,24,Colombia,81,Tottenham Hotspur,Right,CB,31500000,79000,2
J. Maddison,23,England,81,Leicester City,Right,CAM,37000000,82000,1
M. Politano,26,Italy,81,Napoli,Left,RM,28000000,105000,2
Y. Tielemans,23,Belgium,81,Leicester City,Right,CM,36500000,82000,2
Iñaki Williams,26,Spain,81,Athletic Club de Bilbao,Right,ST,34000000,35000,2
Capa,28,Spain,81,Athletic Club de Bilbao,Right,RB,23500000,31000,1
I. Fernández,30,Argentina,81,River Plate,Left,CM,24500000,24000,1
J. Correa,25,Argentina,81,Lazio,Right,CAM,34500000,73000,1
W. Benítez,27,Argentina,81,OGC Nice,Right,GK,25500000,35000,1
T. Lemar,24,France,81,Atlético Madrid,Left,CAM,37000000,54000,3
O. Vlachodimos,26,Greece,81,SL Benfica,Right,GK,29500000,14000,1
Jonny,26,Spain,81,Wolverhampton Wanderers,Right,LWB,31000000,86000,2
A. Rabiot,25,France,81,Juventus,Left,CM,30500000,83000,2
Fred,27,Brazil,81,Manchester United,Left,CM,28000000,115000,1
Q. Promes,28,Netherlands,81,Ajax,Right,RM,26000000,24000,3
M. de Roon,29,Netherlands,81,Atalanta,Right,CDM,22000000,63000,2
H. Çalhanoğlu,26,Turkey,81,Milan,Right,CAM,28000000,50000,3
J. Martínez,27,Venezuela,81,Atlanta United,Right,ST,30000000,14000,1
Kepa,25,Spain,81,Chelsea,Right,GK,28000000,70000,2
L. Shaw,24,England,81,Manchester United,Left,LB,31000000,95000,2
E. Andrada,29,Argentina,81,Boca Juniors,Right,GK,20000000,19000,1
S. Haller,26,France,81,West Ham United,Right,ST,32500000,58000,2
A. Cragno,26,Italy,81,Cagliari,Right,GK,27500000,32000,1
A. Rüdiger,27,Germany,81,Chelsea,Right,CB,27500000,90000,2
A. Milik,26,Poland,81,Napoli,Left,ST,34000000,81000,3
J. Pickford,26,England,81,Everton,Left,GK,26000000,70000,1
B. Mendy,25,France,81,Manchester City,Left,LWB,31500000,115000,2
S. Savić,29,Montenegro,81,Atlético Madrid,Right,CB,24000000,60000,2
E. Zahavi,32,Israel,81,PSV,Right,ST,21000000,27000,1
S. Arias,28,Colombia,81,Bayer 04 Leverkusen,Right,RB,23500000,60000,2
A. Florenzi,29,Italy,81,Paris Saint-Germain,Right,RB,22500000,85000,3
Suso,26,Spain,81,Sevilla FC,Left,CAM,28000000,39000,3
T. Meunier,28,Belgium,81,Borussia Dortmund,Right,RB,23500000,64000,2
Felipe Anderson,27,Brazil,81,FC Porto,Right,LM,27500000,53000,3
M. Doherty,28,Republic of Ireland,81,Tottenham Hotspur,Right,RWB,23500000,95000,1
Ismaily,30,Brazil,81,Shakhtar Donetsk,Left,LB,22000000,1000,1
K. Volland,27,Germany,81,AS Monaco,Left,ST,28000000,68000,2
Paco Alcácer,26,Spain,81,Villarreal CF,Right,ST,31000000,45000,2
J. Cillessen,31,Netherlands,81,Valencia CF,Right,GK,13500000,33000,3
Jordi Masip,31,Spain,81,Real Valladolid CF,Right,GK,13500000,21000,1
Pablo Sarabia,28,Spain,81,Paris Saint-Germain,Left,RW,26000000,100000,2
Jonathan Viera,30,Spain,81,Beijing Sinobo Guoan FC,Right,CAM,25000000,28000,2
S. Coates,29,Uruguay,81,Sporting CP,Right,CB,21500000,19000,3
K. Kampl,29,Slovenia,81,RB Leipzig,Right,CM,25000000,65000,2
X. Shaqiri,28,Switzerland,81,Liverpool,Left,RM,26000000,105000,3
T. Delaney,28,Denmark,81,Borussia Dortmund,Left,CB,22500000,64000,2
J. Cuadrado,32,Colombia,81,Juventus,Right,RW,18000000,80000,3
M. Götze,28,Germany,81,PSV,Right,CAM,26000000,26000,4
E. Salvio,29,Argentina,81,Boca Juniors,Right,RM,25500000,26000,2
Taison,32,Brazil,81,Shakhtar Donetsk,Right,LM,20500000,2000,2
Marlos,32,Ukraine,81,Shakhtar Donetsk,Left,RM,20500000,2000,2
M. Kruse,32,Germany,81,1. FC Union Berlin,Left,CAM,20500000,42000,2
S. Khedira,33,Germany,81,Juventus,Right,CM,16000000,87000,3
Javi Martínez,31,Spain,81,FC Bayern München,Right,CB,18000000,76000,3
S. Bender,31,Germany,81,Bayer 04 Leverkusen,Right,CB,17500000,66000,2
Marcano,33,Spain,81,FC Porto,Left,CB,12500000,18000,3
S. Mignolet,32,Belgium,81,Club Brugge KV,Right,GK,13000000,26000,3
